date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:32	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Sep%202024%2008:32:32%20GMT	http://localhost/robots.txt		(from )
10:32:33	12177/12177	U--MC-	200	updated ('OK')	text/html	date:Thu,%2026%20Sep%202024%2008:32:32%20GMT	http://localhost/Task-Titan/	Descargas/Task-Titan/localhost/Task-Titan/index.html	(from )
10:32:33	9539/9539	U-----	200	untouched ('OK')	text/css	etag:%222543-61dea8e89b380%22	http://localhost/Task-Titan/vendors/css/modal-fx.min.css	Descargas/Task-Titan/localhost/Task-Titan/vendors/css/modal-fx.min.css	(from http://localhost/Task-Titan/)
10:32:33	1688/1688	U-----	200	untouched ('OK')	text/css	etag:%22698-6230106525d8c%22	http://localhost/Task-Titan/css/style.css	Descargas/Task-Titan/localhost/Task-Titan/css/style.css	(from http://localhost/Task-Titan/)
10:32:33	492/492	U-----	200	untouched ('OK')	text/css	etag:%221ec-62260656c66ba%22	http://localhost/Task-Titan/css/config.css	Descargas/Task-Titan/localhost/Task-Titan/css/config.css	(from http://localhost/Task-Titan/)
10:32:33	46708/46708	U-----	200	untouched ('OK')	image/svg+xml	etag:%22b674-61e13e40019eb%22	http://localhost/Task-Titan/img/logo.svg	Descargas/Task-Titan/localhost/Task-Titan/img/logo.svg	(from http://localhost/Task-Titan/)
10:32:34	265555/265555	U-----	200	untouched ('')	image/jpeg	etag:%2240d53-61d608c76b1ed%22	http://localhost/Task-Titan/img/tareas.jpg	Descargas/Task-Titan/localhost/Task-Titan/img/tareas.jpg	(from http://localhost/Task-Titan/)
10:32:34	12177/12177	U--MC-	200	updated ('OK')	text/html	date:Thu,%2026%20Sep%202024%2008:32:33%20GMT	http://localhost/Task-Titan/index.php	Descargas/Task-Titan/localhost/Task-Titan/index-2.html	(from http://localhost/Task-Titan/)
10:32:34	652173/652173	U-----	200	untouched ('')	image/jpeg	etag:%229f38d-61d60908cd86c%22	http://localhost/Task-Titan/img/team.jpg	Descargas/Task-Titan/localhost/Task-Titan/img/team.jpg	(from http://localhost/Task-Titan/)
10:32:34	5841/5841	U-----	200	untouched ('')	application/javascript	etag:%2216d1-622ef07cf6d35%22	http://localhost/Task-Titan/js/script.js	Descargas/Task-Titan/localhost/Task-Titan/js/script.js	(from http://localhost/Task-Titan/)
10:32:34	212900/212900	U-----	200	untouched ('')	image/jpeg	etag:%2233fa4-61d609459b566%22	http://localhost/Task-Titan/img/seguimiento.jpg	Descargas/Task-Titan/localhost/Task-Titan/img/seguimiento.jpg	(from http://localhost/Task-Titan/)
